booking_key,date_key,start_time_key,end_time_key,room_key,booking_name,start_datetime,end_datetime,duration_minutes,duration_hours,booking_count
21,20230801,1030,1100,35,Vinay,2023-08-01 10:30:00,2023-08-01 11:00:00,30,0.5,1
22,20230801,1030,1100,41,,2023-08-01 10:30:00,2023-08-01 11:00:00,30,0.5,1
23,20230801,1030,1230,36,,2023-08-01 10:30:00,2023-08-01 12:30:00,120,2.0,1
24,20230801,1100,1130,19,Nate,2023-08-01 11:00:00,2023-08-01 11:30:00,30,0.5,1
25,20230801,1100,1130,22,Elevate Tutoring,2023-08-01 11:00:00,2023-08-01 11:30:00,30,0.5,1
26,20230801,1100,1130,32,nitsi,2023-08-01 11:00:00,2023-08-01 11:30:00,30,0.5,1
27,20230801,1100,1130,41,,2023-08-01 11:00:00,2023-08-01 11:30:00,30,0.5,1
28,20230801,1100,1130,34,Private Appointment,2023-08-01 11:00:00,2023-08-01 11:30:00,30,0.5,1
29,20230801,1100,1300,25,Jesi,2023-08-01 11:00:00,2023-08-01 13:00:00,120,2.0,1
30,20230801,1100,1300,27,Hiral,2023-08-01 11:00:00,2023-08-01 13:00:00,120,2.0,1
31,20230801,1130,1200,31,Simran,2023-08-01 11:30:00,2023-08-01 12:00:00,30,0.5,1
32,20230801,1130,1200,35,Vinay,2023-08-01 11:30:00,2023-08-01 12:00:00,30,0.5,1
33,20230801,1130,1200,41,,2023-08-01 11:30:00,2023-08-01 12:00:00,30,0.5,1
34,20230801,1130,1330,13,Jeremie,2023-08-01 11:30:00,2023-08-01 13:30:00,120,2.0,1
35,20230801,1130,1330,23,quick call,2023-08-01 11:30:00,2023-08-01 13:30:00,120,2.0,1
36,20230801,1130,1330,28,Study Session,2023-08-01 11:30:00,2023-08-01 13:30:00,120,2.0,1
37,20230801,1200,1230,14,,2023-08-01 12:00:00,2023-08-01 12:30:00,30,0.5,1
38,20230801,1200,1230,19,Nate,2023-08-01 12:00:00,2023-08-01 12:30:00,30,0.5,1
39,20230801,1200,1230,22,Elevate Tutoring,2023-08-01 12:00:00,2023-08-01 12:30:00,30,0.5,1
40,20230801,1200,1230,32,nitsi,2023-08-01 12:00:00,2023-08-01 12:30:00,30,0.5,1
41,20230801,1200,1230,37,Praveen's,2023-08-01 12:00:00,2023-08-01 12:30:00,30,0.5,1
42,20230801,1200,1230,41,,2023-08-01 12:00:00,2023-08-01 12:30:00,30,0.5,1
43,20230801,1200,1230,34,Private Appointment,2023-08-01 12:00:00,2023-08-01 12:30:00,30,0.5,1
44,20230801,1200,1400,11,IEEE Mentor Session,2023-08-01 12:00:00,2023-08-01 14:00:00,120,2.0,1
45,20230801,1230,1300,31,Simran,2023-08-01 12:30:00,2023-08-01 13:00:00,30,0.5,1
46,20230801,1230,1300,35,Vinay,2023-08-01 12:30:00,2023-08-01 13:00:00,30,0.5,1
47,20230801,1230,1300,41,,2023-08-01 12:30:00,2023-08-01 13:00:00,30,0.5,1
48,20230801,1230,1430,22,,2023-08-01 12:30:00,2023-08-01 14:30:00,120,2.0,1
49,20230801,1230,1430,33,Daisy,2023-08-01 12:30:00,2023-08-01 14:30:00,120,2.0,1
50,20230801,1300,1330,14,,2023-08-01 13:00:00,2023-08-01 13:30:00,30,0.5,1
51,20230801,1300,1330,32,nitsi,2023-08-01 13:00:00,2023-08-01 13:30:00,30,0.5,1
52,20230801,1300,1330,37,Praveen's,2023-08-01 13:00:00,2023-08-01 13:30:00,30,0.5,1
53,20230801,1300,1330,41,,2023-08-01 13:00:00,2023-08-01 13:30:00,30,0.5,1
54,20230801,1300,1330,34,Private Appointment,2023-08-01 13:00:00,2023-08-01 13:30:00,30,0.5,1
55,20230801,1300,1500,40,SUHA,2023-08-01 13:00:00,2023-08-01 15:00:00,120,2.0,1
56,20230801,1330,1400,31,Simran,2023-08-01 13:30:00,2023-08-01 14:00:00,30,0.5,1
57,20230801,1330,1400,35,Vinay,2023-08-01 13:30:00,2023-08-01 14:00:00,30,0.5,1
58,20230801,1330,1400,41,,2023-08-01 13:30:00,2023-08-01 14:00:00,30,0.5,1
59,20230801,1330,1530,39,Study Session,2023-08-01 13:30:00,2023-08-01 15:30:00,120,2.0,1
60,20230801,1400,1430,14,,2023-08-01 14:00:00,2023-08-01 14:30:00,30,0.5,1
61,20230801,1400,1430,41,,2023-08-01 14:00:00,2023-08-01 14:30:00,30,0.5,1
62,20230801,1400,1430,34,Private Appointment,2023-08-01 14:00:00,2023-08-01 14:30:00,30,0.5,1
63,20230801,1400,1600,11,IEEE Mentor Session,2023-08-01 14:00:00,2023-08-01 16:00:00,120,2.0,1
64,20230801,1400,1600,24,Juhi,2023-08-01 14:00:00,2023-08-01 16:00:00,120,2.0,1
65,20230801,1430,1500,35,Nithin,2023-08-01 14:30:00,2023-08-01 15:00:00,30,0.5,1
66,20230801,1430,1500,37,Praveen's,2023-08-01 14:30:00,2023-08-01 15:00:00,30,0.5,1
67,20230801,1430,1500,41,,2023-08-01 14:30:00,2023-08-01 15:00:00,30,0.5,1
68,20230801,1430,1530,32,,2023-08-01 14:30:00,2023-08-01 15:30:00,60,1.0,1
69,20230801,1430,1630,15,,2023-08-01 14:30:00,2023-08-01 16:30:00,120,2.0,1
70,20230801,1430,1630,17,,2023-08-01 14:30:00,2023-08-01 16:30:00,120,2.0,1
71,20230801,1430,1630,38,AP,2023-08-01 14:30:00,2023-08-01 16:30:00,120,2.0,1
72,20230801,1500,1530,14,,2023-08-01 15:00:00,2023-08-01 15:30:00,30,0.5,1
73,20230801,1500,1530,41,,2023-08-01 15:00:00,2023-08-01 15:30:00,30,0.5,1
74,20230801,1500,1530,34,Private Appointment,2023-08-01 15:00:00,2023-08-01 15:30:00,30,0.5,1
75,20230801,1500,1630,25,,2023-08-01 15:00:00,2023-08-01 16:30:00,90,1.5,1
76,20230801,1500,1700,29,proj,2023-08-01 15:00:00,2023-08-01 17:00:00,120,2.0,1
77,20230801,1500,1700,40,bros,2023-08-01 15:00:00,2023-08-01 17:00:00,120,2.0,1
78,20230801,1530,1600,35,Nithin,2023-08-01 15:30:00,2023-08-01 16:00:00,30,0.5,1
79,20230801,1530,1600,37,Praveen's,2023-08-01 15:30:00,2023-08-01 16:00:00,30,0.5,1
80,20230801,1530,1600,41,,2023-08-01 15:30:00,2023-08-01 16:00:00,30,0.5,1
81,20230801,1530,1630,14,,2023-08-01 15:30:00,2023-08-01 16:30:00,60,1.0,1
82,20230801,1530,1630,16,Neuroscience hw,2023-08-01 15:30:00,2023-08-01 16:30:00,60,1.0,1
83,20230801,1530,1730,22,,2023-08-01 15:30:00,2023-08-01 17:30:00,120,2.0,1
84,20230801,1530,1730,39,Study Session,2023-08-01 15:30:00,2023-08-01 17:30:00,120,2.0,1
85,20230801,1600,1630,32,,2023-08-01 16:00:00,2023-08-01 16:30:00,30,0.5,1
86,20230801,1600,1630,41,,2023-08-01 16:00:00,2023-08-01 16:30:00,30,0.5,1
87,20230801,1600,1730,24,Juhi,2023-08-01 16:00:00,2023-08-01 17:30:00,90,1.5,1
88,20230801,1600,1800,11,IEEE Mentor Session,2023-08-01 16:00:00,2023-08-01 18:00:00,120,2.0,1
89,20230801,1600,1800,42,kevin nguyen,2023-08-01 16:00:00,2023-08-01 18:00:00,120,2.0,1
90,20230801,1630,1700,35,Nithin,2023-08-01 16:30:00,2023-08-01 17:00:00,30,0.5,1
91,20230801,1630,1700,41,,2023-08-01 16:30:00,2023-08-01 17:00:00,30,0.5,1
92,20230801,1630,1730,14,,2023-08-01 16:30:00,2023-08-01 17:30:00,60,1.0,1
93,20230801,1630,1800,34,:),2023-08-01 16:30:00,2023-08-01 18:00:00,90,1.5,1
94,20230801,1630,1830,18,cassie,2023-08-01 16:30:00,2023-08-01 18:30:00,120,2.0,1
95,20230801,1700,1730,32,,2023-08-01 17:00:00,2023-08-01 17:30:00,30,0.5,1
96,20230801,1700,1730,41,,2023-08-01 17:00:00,2023-08-01 17:30:00,30,0.5,1
97,20230801,1700,1830,13,,2023-08-01 17:00:00,2023-08-01 18:30:00,90,1.5,1
98,20230801,1700,1830,40,gumba,2023-08-01 17:00:00,2023-08-01 18:30:00,90,1.5,1
99,20230801,1700,1900,29,Sanjay,2023-08-01 17:00:00,2023-08-01 19:00:00,120,2.0,1
100,20230801,1730,1800,35,Nithin,2023-08-01 17:30:00,2023-08-01 18:00:00,30,0.5,1
101,20230801,1730,1800,41,,2023-08-01 17:30:00,2023-08-01 18:00:00,30,0.5,1
102,20230801,1730,1930,22,,2023-08-01 17:30:00,2023-08-01 19:30:00,120,2.0,1
103,20230801,1730,1930,39,Study Session,2023-08-01 17:30:00,2023-08-01 19:30:00,120,2.0,1
104,20230801,1800,1830,32,N,2023-08-01 18:00:00,2023-08-01 18:30:00,30,0.5,1
105,20230801,1800,1830,41,,2023-08-01 18:00:00,2023-08-01 18:30:00,30,0.5,1
106,20230801,1800,2000,11,IEEE Mentor Session,2023-08-01 18:00:00,2023-08-01 20:00:00,120,2.0,1
107,20230801,1800,2000,28,,2023-08-01 18:00:00,2023-08-01 20:00:00,120,2.0,1
108,20230801,1830,1900,41,,2023-08-01 18:30:00,2023-08-01 19:00:00,30,0.5,1
109,20230801,1830,1900,34,:),2023-08-01 18:30:00,2023-08-01 19:00:00,30,0.5,1
110,20230801,1830,1930,35,Harika,2023-08-01 18:30:00,2023-08-01 19:30:00,60,1.0,1
111,20230801,1900,1930,41,,2023-08-01 19:00:00,2023-08-01 19:30:00,30,0.5,1
112,20230801,1930,2000,41,,2023-08-01 19:30:00,2023-08-01 20:00:00,30,0.5,1
113,20230802,800,1000,11,IEEE Mentor Session,2023-08-02 08:00:00,2023-08-02 10:00:00,120,2.0,1
114,20230802,830,1030,25,AP,2023-08-02 08:30:00,2023-08-02 10:30:00,120,2.0,1
115,20230802,900,930,27,,2023-08-02 09:00:00,2023-08-02 09:30:00,30,0.5,1
116,20230802,900,930,35,Harika,2023-08-02 09:00:00,2023-08-02 09:30:00,30,0.5,1
117,20230802,930,1130,12,,2023-08-02 09:30:00,2023-08-02 11:30:00,120,2.0,1
118,20230802,930,1130,34,,2023-08-02 09:30:00,2023-08-02 11:30:00,120,2.0,1
119,20230802,930,1530,6,Associated Students Staff Development,2023-08-02 09:30:00,2023-08-02 15:30:00,360,6.0,1
120,20230802,1000,1030,27,,2023-08-02 10:00:00,2023-08-02 10:30:00,30,0.5,1
121,20230802,1000,1030,31,Simran,2023-08-02 10:00:00,2023-08-02 10:30:00,30,0.5,1
122,20230802,1000,1030,35,Harika,2023-08-02 10:00:00,2023-08-02 10:30:00,30,0.5,1
123,20230802,1000,1200,11,IEEE Mentor Session,2023-08-02 10:00:00,2023-08-02 12:00:00,120,2.0,1
124,20230802,1000,1200,36,Abe,2023-08-02 10:00:00,2023-08-02 12:00:00,120,2.0,1
125,20230802,1000,1200,5,PBCE-Code Enforcement,2023-08-02 10:00:00,2023-08-02 12:00:00,120,2.0,1
126,20230802,1100,1130,19,Nate,2023-08-02 11:00:00,2023-08-02 11:30:00,30,0.5,1
127,20230802,1100,1130,27,,2023-08-02 11:00:00,2023-08-02 11:30:00,30,0.5,1
128,20230802,1100,1130,31,Simran,2023-08-02 11:00:00,2023-08-02 11:30:00,30,0.5,1
129,20230802,1100,1130,35,Harika,2023-08-02 11:00:00,2023-08-02 11:30:00,30,0.5,1
130,20230802,1100,1130,40,Sameer Joshi,2023-08-02 11:00:00,2023-08-02 11:30:00,30,0.5,1
131,20230802,1100,1200,20,JZ,2023-08-02 11:00:00,2023-08-02 12:00:00,60,1.0,1
132,20230802,1100,1200,41,Karthik,2023-08-02 11:00:00,2023-08-02 12:00:00,60,1.0,1
133,20230802,1100,1300,25,AP,2023-08-02 11:00:00,2023-08-02 13:00:00,120,2.0,1
134,20230802,1100,1300,37,Romit Ganjoo,2023-08-02 11:00:00,2023-08-02 13:00:00,120,2.0,1
135,20230802,1100,1300,38,Rutvik Patel,2023-08-02 11:00:00,2023-08-02 13:00:00,120,2.0,1
136,20230802,1100,1300,33,Work,2023-08-02 11:00:00,2023-08-02 13:00:00,120,2.0,1
137,20230802,1130,1300,39,heer,2023-08-02 11:30:00,2023-08-02 13:00:00,90,1.5,1
138,20230802,1130,1330,34,Hiral,2023-08-02 11:30:00,2023-08-02 13:30:00,120,2.0,1
139,20230802,1200,1230,19,Nate,2023-08-02 12:00:00,2023-08-02 12:30:00,30,0.5,1
140,20230802,1200,1230,27,,2023-08-02 12:00:00,2023-08-02 12:30:00,30,0.5,1
141,20230802,1200,1230,31,Simran,2023-08-02 12:00:00,2023-08-02 12:30:00,30,0.5,1
142,20230802,1200,1230,35,Harika,2023-08-02 12:00:00,2023-08-02 12:30:00,30,0.5,1
143,20230802,1200,1230,40,Sameer Joshi,2023-08-02 12:00:00,2023-08-02 12:30:00,30,0.5,1
144,20230802,1200,1300,12,,2023-08-02 12:00:00,2023-08-02 13:00:00,60,1.0,1
145,20230802,1200,1400,11,IEEE Mentor Session,2023-08-02 12:00:00,2023-08-02 14:00:00,120,2.0,1
146,20230802,1200,1400,22,,2023-08-02 12:00:00,2023-08-02 14:00:00,120,2.0,1
147,20230802,1200,1400,30,Prep,2023-08-02 12:00:00,2023-08-02 14:00:00,120,2.0,1
148,20230802,1230,1330,32,,2023-08-02 12:30:00,2023-08-02 13:30:00,60,1.0,1
149,20230802,1230,1330,41,Karthik,2023-08-02 12:30:00,2023-08-02 13:30:00,60,1.0,1
150,20230802,1230,1430,18,Brentin study,2023-08-02 12:30:00,2023-08-02 14:30:00,120,2.0,1
151,20230802,1230,1430,7,Max Labs Video team,2023-08-02 12:30:00,2023-08-02 14:30:00,120,2.0,1
152,20230802,1300,1330,16,,2023-08-02 13:00:00,2023-08-02 13:30:00,30,0.5,1
153,20230802,1300,1330,27,,2023-08-02 13:00:00,2023-08-02 13:30:00,30,0.5,1
154,20230802,1300,1330,35,Nithin,2023-08-02 13:00:00,2023-08-02 13:30:00,30,0.5,1
155,20230802,1300,1330,40,Sameer Joshi,2023-08-02 13:00:00,2023-08-02 13:30:00,30,0.5,1
156,20230802,1300,1400,15,,2023-08-02 13:00:00,2023-08-02 14:00:00,60,1.0,1
157,20230802,1300,1500,36,Nitin,2023-08-02 13:00:00,2023-08-02 15:00:00,120,2.0,1
158,20230802,1300,1500,37,private,2023-08-02 13:00:00,2023-08-02 15:00:00,120,2.0,1
159,20230802,1330,1400,19,Nate,2023-08-02 13:30:00,2023-08-02 14:00:00,30,0.5,1
160,20230802,1330,1400,31,Simran,2023-08-02 13:30:00,2023-08-02 14:00:00,30,0.5,1
161,20230802,1330,1400,34,,2023-08-02 13:30:00,2023-08-02 14:00:00,30,0.5,1
162,20230802,1330,1500,17,Raajmaathangi,2023-08-02 13:30:00,2023-08-02 15:00:00,90,1.5,1
163,20230802,1330,1500,28,Jaswanth,2023-08-02 13:30:00,2023-08-02 15:00:00,90,1.5,1
164,20230802,1330,1530,38,ZS,2023-08-02 13:30:00,2023-08-02 15:30:00,120,2.0,1
165,20230802,1400,1430,27,,2023-08-02 14:00:00,2023-08-02 14:30:00,30,0.5,1
166,20230802,1400,1430,35,Nithin,2023-08-02 14:00:00,2023-08-02 14:30:00,30,0.5,1
167,20230802,1400,1430,40,Sameer Joshi,2023-08-02 14:00:00,2023-08-02 14:30:00,30,0.5,1
168,20230802,1400,1500,20,,2023-08-02 14:00:00,2023-08-02 15:00:00,60,1.0,1
169,20230802,1400,1500,24,Wes,2023-08-02 14:00:00,2023-08-02 15:00:00,60,1.0,1
170,20230802,1400,1500,41,Karthik,2023-08-02 14:00:00,2023-08-02 15:00:00,60,1.0,1
171,20230802,1400,1530,5,SJPL Admin,2023-08-02 14:00:00,2023-08-02 15:30:00,90,1.5,1
172,20230802,1400,1600,11,IEEE Mentor Session,2023-08-02 14:00:00,2023-08-02 16:00:00,120,2.0,1
173,20230802,1400,1600,21,Geology Writing Workshop,2023-08-02 14:00:00,2023-08-02 16:00:00,120,2.0,1
174,20230802,1400,1600,30,Cmpe,2023-08-02 14:00:00,2023-08-02 16:00:00,120,2.0,1
175,20230802,1400,1600,39,,2023-08-02 14:00:00,2023-08-02 16:00:00,120,2.0,1
176,20230802,1430,1500,34,,2023-08-02 14:30:00,2023-08-02 15:00:00,30,0.5,1
177,20230802,1500,1530,19,Nate,2023-08-02 15:00:00,2023-08-02 15:30:00,30,0.5,1
178,20230802,1500,1530,27,,2023-08-02 15:00:00,2023-08-02 15:30:00,30,0.5,1
179,20230802,1500,1530,35,Nithin,2023-08-02 15:00:00,2023-08-02 15:30:00,30,0.5,1
180,20230802,1500,1630,25,,2023-08-02 15:00:00,2023-08-02 16:30:00,90,1.5,1
181,20230802,1500,1700,29,,2023-08-02 15:00:00,2023-08-02 17:00:00,120,2.0,1
182,20230802,1530,1600,27,,2023-08-02 15:30:00,2023-08-02 16:00:00,30,0.5,1
183,20230802,1530,1600,28,Jaswanth,2023-08-02 15:30:00,2023-08-02 16:00:00,30,0.5,1
184,20230802,1530,1600,32,Fitme,2023-08-02 15:30:00,2023-08-02 16:00:00,30,0.5,1
185,20230802,1530,1600,5,SJSU Library,2023-08-02 15:30:00,2023-08-02 16:00:00,30,0.5,1
186,20230802,1530,1600,34,,2023-08-02 15:30:00,2023-08-02 16:00:00,30,0.5,1
187,20230802,1530,1630,41,Karthik,2023-08-02 15:30:00,2023-08-02 16:30:00,60,1.0,1
188,20230802,1530,1700,31,,2023-08-02 15:30:00,2023-08-02 17:00:00,90,1.5,1
189,20230802,1530,1730,17,Study room,2023-08-02 15:30:00,2023-08-02 17:30:00,120,2.0,1
190,20230802,1530,1730,38,,2023-08-02 15:30:00,2023-08-02 17:30:00,120,2.0,1
191,20230802,1600,1630,27,,2023-08-02 16:00:00,2023-08-02 16:30:00,30,0.5,1
192,20230802,1600,1630,35,Nithin,2023-08-02 16:00:00,2023-08-02 16:30:00,30,0.5,1
193,20230802,1600,1630,40,Prudhvi,2023-08-02 16:00:00,2023-08-02 16:30:00,30,0.5,1
194,20230802,1600,1630,33,,2023-08-02 16:00:00,2023-08-02 16:30:00,30,0.5,1
195,20230802,1600,1730,42,,2023-08-02 16:00:00,2023-08-02 17:30:00,90,1.5,1
196,20230802,1600,1800,11,IEEE Mentor Session,2023-08-02 16:00:00,2023-08-02 18:00:00,120,2.0,1
197,20230802,1600,1800,16,Shruti,2023-08-02 16:00:00,2023-08-02 18:00:00,120,2.0,1
198,20230802,1630,1700,34,,2023-08-02 16:30:00,2023-08-02 17:00:00,30,0.5,1
199,20230802,1630,1730,20,Presentation,2023-08-02 16:30:00,2023-08-02 17:30:00,60,1.0,1
200,20230802,1630,1830,39,keith,2023-08-02 16:30:00,2023-08-02 18:30:00,120,2.0,1
201,20230802,1700,1730,27,,2023-08-02 17:00:00,2023-08-02 17:30:00,30,0.5,1
202,20230802,1700,1730,40,Prudhvi,2023-08-02 17:00:00,2023-08-02 17:30:00,30,0.5,1
203,20230802,1700,1730,33,,2023-08-02 17:00:00,2023-08-02 17:30:00,30,0.5,1
204,20230802,1700,1900,14,,2023-08-02 17:00:00,2023-08-02 19:00:00,120,2.0,1
205,20230802,1700,1900,24,Mel’s Group,2023-08-02 17:00:00,2023-08-02 19:00:00,120,2.0,1
206,20230802,1700,1900,41,Ya,2023-08-02 17:00:00,2023-08-02 19:00:00,120,2.0,1
207,20230802,1730,1830,12,,2023-08-02 17:30:00,2023-08-02 18:30:00,60,1.0,1
208,20230802,1800,1830,27,,2023-08-02 18:00:00,2023-08-02 18:30:00,30,0.5,1
209,20230802,1800,1830,40,Prudhvi,2023-08-02 18:00:00,2023-08-02 18:30:00,30,0.5,1
210,20230802,1800,1830,33,,2023-08-02 18:00:00,2023-08-02 18:30:00,30,0.5,1
211,20230802,1800,2000,11,IEEE Mentor Session,2023-08-02 18:00:00,2023-08-02 20:00:00,120,2.0,1
212,20230802,1800,2000,15,Jerry Dyer ESL tutoring,2023-08-02 18:00:00,2023-08-02 20:00:00,120,2.0,1
213,20230802,1800,2000,25,Psychology Group Project,2023-08-02 18:00:00,2023-08-02 20:00:00,120,2.0,1
214,20230802,1800,2000,28,,2023-08-02 18:00:00,2023-08-02 20:00:00,120,2.0,1
215,20230802,1900,1930,27,,2023-08-02 19:00:00,2023-08-02 19:30:00,30,0.5,1
216,20230802,1900,1930,40,Prudhvi,2023-08-02 19:00:00,2023-08-02 19:30:00,30,0.5,1
217,20230802,1900,1930,33,,2023-08-02 19:00:00,2023-08-02 19:30:00,30,0.5,1
218,20230803,800,1000,11,IEEE Mentor Session,2023-08-03 08:00:00,2023-08-03 10:00:00,120,2.0,1
219,20230803,800,1000,17,,2023-08-03 08:00:00,2023-08-03 10:00:00,120,2.0,1
220,20230803,830,1030,15,ikshaku goswami,2023-08-03 08:30:00,2023-08-03 10:30:00,120,2.0,1
221,20230803,900,1000,12,,2023-08-03 09:00:00,2023-08-03 10:00:00,60,1.0,1
222,20230803,900,1100,23,HE/Physics,2023-08-03 09:00:00,2023-08-03 11:00:00,120,2.0,1
223,20230803,900,1600,6,SJSU Cares,2023-08-03 09:00:00,2023-08-03 16:00:00,420,7.0,1
224,20230803,930,1000,27,,2023-08-03 09:30:00,2023-08-03 10:00:00,30,0.5,1
225,20230803,930,1100,41,Utsav,2023-08-03 09:30:00,2023-08-03 11:00:00,90,1.5,1
226,20230803,930,1130,38,ZS,2023-08-03 09:30:00,2023-08-03 11:30:00,120,2.0,1
227,20230803,1000,1030,27,,2023-08-03 10:00:00,2023-08-03 10:30:00,30,0.5,1
228,20230803,1000,1030,28,Nate,2023-08-03 10:00:00,2023-08-03 10:30:00,30,0.5,1
229,20230803,1000,1030,34,Nithin,2023-08-03 10:00:00,2023-08-03 10:30:00,30,0.5,1
230,20230803,1000,1130,13,Sehat,2023-08-03 10:00:00,2023-08-03 11:30:00,90,1.5,1
231,20230803,1000,1130,5,SJPL Admin,2023-08-03 10:00:00,2023-08-03 11:30:00,90,1.5,1
232,20230803,1000,1200,11,IEEE Mentor Session,2023-08-03 10:00:00,2023-08-03 12:00:00,120,2.0,1
233,20230803,1000,1200,14,,2023-08-03 10:00:00,2023-08-03 12:00:00,120,2.0,1
234,20230803,1000,1200,17,,2023-08-03 10:00:00,2023-08-03 12:00:00,120,2.0,1
235,20230803,1030,1100,24,,2023-08-03 10:30:00,2023-08-03 11:00:00,30,0.5,1
236,20230803,1030,1100,27,,2023-08-03 10:30:00,2023-08-03 11:00:00,30,0.5,1
237,20230803,1030,1230,35,Interview,2023-08-03 10:30:00,2023-08-03 12:30:00,120,2.0,1
238,20230803,1030,1230,36,,2023-08-03 10:30:00,2023-08-03 12:30:00,120,2.0,1
239,20230803,1100,1130,27,,2023-08-03 11:00:00,2023-08-03 11:30:00,30,0.5,1
240,20230803,1100,1130,31,Simran,2023-08-03 11:00:00,2023-08-03 11:30:00,30,0.5,1
241,20230803,1100,1130,40,Sameer Joshi,2023-08-03 11:00:00,2023-08-03 11:30:00,30,0.5,1
242,20230803,1100,1130,34,Nithin,2023-08-03 11:00:00,2023-08-03 11:30:00,30,0.5,1
243,20230803,1100,1200,41,Karthik,2023-08-03 11:00:00,2023-08-03 12:00:00,60,1.0,1
244,20230803,1100,1200,33,Winston,2023-08-03 11:00:00,2023-08-03 12:00:00,60,1.0,1
245,20230803,1100,1300,19,Duke Meeting,2023-08-03 11:00:00,2023-08-03 13:00:00,120,2.0,1
246,20230803,1130,1200,24,,2023-08-03 11:30:00,2023-08-03 12:00:00,30,0.5,1
247,20230803,1130,1200,27,,2023-08-03 11:30:00,2023-08-03 12:00:00,30,0.5,1
248,20230803,1130,1200,28,Nate,2023-08-03 11:30:00,2023-08-03 12:00:00,30,0.5,1
249,20230803,1130,1200,32,Dollar,2023-08-03 11:30:00,2023-08-03 12:00:00,30,0.5,1
250,20230803,1130,1230,29,Nitin,2023-08-03 11:30:00,2023-08-03 12:30:00,60,1.0,1
251,20230803,1130,1330,30,,2023-08-03 11:30:00,2023-08-03 13:30:00,120,2.0,1
252,20230803,1200,1230,15,,2023-08-03 12:00:00,2023-08-03 12:30:00,30,0.5,1
253,20230803,1200,1230,27,,2023-08-03 12:00:00,2023-08-03 12:30:00,30,0.5,1
254,20230803,1200,1230,31,Simran,2023-08-03 12:00:00,2023-08-03 12:30:00,30,0.5,1
255,20230803,1200,1230,40,Sameer Joshi,2023-08-03 12:00:00,2023-08-03 12:30:00,30,0.5,1
256,20230803,1200,1230,34,Nithin,2023-08-03 12:00:00,2023-08-03 12:30:00,30,0.5,1
257,20230803,1200,1400,11,IEEE Mentor Session,2023-08-03 12:00:00,2023-08-03 14:00:00,120,2.0,1
258,20230803,1230,1300,24,,2023-08-03 12:30:00,2023-08-03 13:00:00,30,0.5,1
259,20230803,1230,1300,27,,2023-08-03 12:30:00,2023-08-03 13:00:00,30,0.5,1
260,20230803,1230,1300,35,Private Appointment,2023-08-03 12:30:00,2023-08-03 13:00:00,30,0.5,1
261,20230803,1230,1330,41,Karthik,2023-08-03 12:30:00,2023-08-03 13:30:00,60,1.0,1
262,20230803,1230,1400,32,Dollar,2023-08-03 12:30:00,2023-08-03 14:00:00,90,1.5,1
263,20230803,1230,1430,38,Group 4 Honors X,2023-08-03 12:30:00,2023-08-03 14:30:00,120,2.0,1
264,20230803,1300,1330,27,,2023-08-03 13:00:00,2023-08-03 13:30:00,30,0.5,1
265,20230803,1300,1330,28,Nate,2023-08-03 13:00:00,2023-08-03 13:30:00,30,0.5,1
266,20230803,1300,1330,31,Simran,2023-08-03 13:00:00,2023-08-03 13:30:00,30,0.5,1
